Symbol,Name,Sector
AAPL,Apple,Information Technology
ABBV,AbbVie Inc.,Health Care
ABMD,ABIOMED Inc,Health Care
ABT,Abbott Laboratories,Health Care
ACN,Accenture plc,Information Technology
ADBE,Adobe Inc.,Information Technology
AMD,Advanced Micro Devices Inc,Information Technology
AMZN,Amazon,Information Technology
AOS,A.O. Smith Corp,Industrials
BA,Boeing Company,Industrials
BAC,Bank of America Corp,Financials
BAX,Baxter International Inc.,Health Care
BBY,Best Buy Co. Inc.,Consumer Discretionary
BDX,Becton Dickinson,Health Care
BIIB,Biogen Inc.,Health Care
BIO,Bio-Rad Laboratories,Health Care
BKR,Baker Hughes Co,Energy
BLK,BlackRock,Financials
BLL,Ball Corp,Materials
CAH,Cardinal Health Inc.,Health Care
CARR,Carrier Global,Industrials
CAT,Caterpillar Inc.,Industrials
CBOE,Cboe Global Markets,Financials
CCL,Carnival Corp.,Consumer Discretionary
CDNS,Cadence Design Systems,Information Technology
CHRW,C. H. Robinson Worldwide,Industrials
COF,Capital One Financial,Financials
COG,Cabot Oil & Gas,Energy
CPB,Campbell Soup,Consumer Staples
DAL,Delta Air Lines Inc.,Industrials
DE,Deere & Co.,Industrials
DHI,D. R. Horton,Consumer Discretionary
DHR,Danaher Corp.,Health Care
DLR,Digital Realty Trust Inc,Real Estate
DRI,Darden Restaurants,Consumer Discretionary
DVA,DaVita Inc.,Health Care
DVN,Devon Energy,Energy
DXCM,DexCom,Health Care
FANG,Diamondback Energy,Energy
FB,Facebook,Information Technology
GOOG,Alphabet,Information Technology
JNJ,Johnson & Johnson,Health Care
JPM,JPMorgan Chase & Co,Financials
KMX,Carmax Inc,Consumer Discretionary
MMM,3M Company,Industrials
NFLX,Netflix,Information Technology
TSLA,Tesla,Information Technology
TWTR,Twitter,Information Technology
XOM,Exxon Mobile Corporation,Energy
XRAY,Dentsply Sirona,Health Care
